Unnamed: 0,fire_name,fire_size,fire_size_class,stat_cause_descr,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness
819,MALKUS II,1.1,B,Arson,38.45011,-76.09964,MD,4/27/95,4/27/95,Apr,4/27/95 15:15,4/27/95 16:00,0 days 00:00:00.000000000,3/28/95,1995,Mar,722218,11587.65016,99999,1973,2020,0,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.080136043
917,,1.1,B,Miscellaneous,39.56942,-77.43763,MD,4/19/08,,Apr,,,,3/20/08,2008,Mar,722823,8787.423688,3749,2006,2020,0,0.1,722823-03749-2008.gz,7.678702703,9.595445545,11.58529412,13.07118812,3.915783784,3.19960396,3.315686275,3.232309217,63.79236813,69.62939959,50.33823529,73.77412731,74.8,45.8,27.2,265.5,0.091248463
1675,HAMMERHEAD,20,C,Smoking,38.59166667,-76.23333333,MD,10/31/98,10/31/98,Oct,10/31/98 14:10,10/31/98 19:00,0 days 00:00:00.000000000,10/1/98,1998,Oct,722218,18660.76816,99999,1973,2020,0,1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.081226808
2053,,1.3,B,Equipment Use,38.67778,-75.98361,MD,6/25/08,,Jun,,,,5/26/08,2008,May,724043,15856.98093,3756,2006,2020,0,0.1,724043-03756-2008.gz,21.10054348,21.81001727,20.11895911,24.41314554,2.325385313,1.973229706,1.880669145,1.983920188,75.36464088,75.37373737,75.93513514,72.65619835,0,0,0,0,0.079014608
2178,,3,B,Debris Burning,39.68389,-78.01417,MD,3/14/08,,Mar,,,,2/13/08,2008,Feb,724066,24497.30877,93706,2006,2020,0,0.1,724066-93706-2008.gz,2.207520891,4.695670103,4.297637795,8.219812304,3.659205426,4.284742268,3.761023622,3.505005214,71.6038835,68.17319588,71.98031496,66.96760711,78.1,64.5,11.7,53,0.096236539
2547,LONG POND,275,D,Debris Burning,38.38472222,-76.03805556,MD,2/10/08,2/10/08,Feb,2/10/08 12:30,2/10/08 15:00,0 days 00:00:00.000000000,1/11/08,2008,Jan,722218,17140.06721,99999,1973,2020,0,3,722218-99999-2008.gz,2.4415,4.256825076,7.111814346,0,2.51805,2.303842265,2.024472574,0,72.57235142,74.62361624,78.20505618,0,0,0,0,0,0.07963413
3162,Q2,58.9,C,Debris Burning,38.38206513,-76.07179884,MD,2/22/14,2/22/14,Feb,2/22/14 12:30,2/22/14 15:00,0 days 00:00:00.000000000,1/23/14,2014,Jan,722218,17798.49301,99999,1973,2020,0,1,722218-00356-2014.gz,0.919308357,2.65973535,5.190669371,0,2.908501441,2.881096408,3.01643002,0,63.87367915,65.97542533,66.65922921,0,0,0,0,0,0.079928545
3513,SUNDAY,1,B,Lightning,38.44944444,-76.24666667,MD,9/25/05,9/25/05,Sep,9/25/05 7:30,9/25/05 15:00,0 days 00:00:00.000000000,8/26/05,2005,Aug,722218,21356.73992,99999,1973,2020,0,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.081413959
5561,,1.3,B,Smoking,39.6129,-75.985243,MD,11/18/15,11/18/15,Nov,11/18/15 21:00,11/18/15 23:59,0 days 00:00:00.000000000,10/19/15,2015,Oct,997300,18967.72426,99999,2008,2020,0,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.078580608
6266,COON HOLLOW,0.7,B,Miscellaneous,39.4875,-79.01944444,MD,2/19/11,2/19/11,Feb,2/19/11 15:15,2/19/11 17:15,0 days 00:00:00.000000000,1/20/11,2011,Jan,999999,29329.54244,3755,2002,2019,0,0.1,999999-94060-2011.gz,-9.560578704,-7.751712963,-3.905704365,0,4.0025,4.116388889,4.553571429,0,0,0,0,0,0,0,0,0,0.105145051
6368,MOSQUITO DITCH,400,E,Arson,38.35972222,-76.03583333,MD,3/3/05,3/3/05,Mar,3/3/05 12:00,3/3/05 15:30,0 days 00:00:00.000000000,2/1/05,2005,Feb,722218,19907.24316,99999,1973,2020,0,10,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.079627486
6453,,0.7,B,Missing/Undefined,38.78527778,-76.09138889,MD,7/5/10,,Jul,,,,6/5/10,2010,Jun,724043,2846.567279,3756,2006,2020,0,0.1,724043-03756-2010.gz,23.39007699,24.40955631,23.0625,25.21829163,2.065868263,1.91774744,2.368382353,1.778429681,74.51708931,71.70779221,69.22509225,78.1366539,0,0,0,0,0.079897566
8452,,1.3,B,Missing/Undefined,38.55687222,-76.0424278,MD,2/8/09,,Feb,,,,1/9/09,2009,Jan,722218,2260.476504,99999,1973,2020,0,0.1,722218-00356-2009.gz,0.527586207,1.297536946,1.814345992,5.521768252,3.12955665,2.917339901,3.426371308,3.91232418,60.86009852,61.59605911,60.35021097,56.70931011,0,0,0,0,0.079585547
